,user,fullname,tweet-id,timestamp,likes,replies,retweets,text,airline,sentiment_polarity,sentiment,tokens,hand_label
4860,amatahammerand,Amy Hammerand ,5.50051E+17,12/30/14 22:07,0,0,0,no flight credit from  while my grandpa is in hospice. switched to  because they have  and human spirit.,spirit,0,neutral,"['flight', 'credit', 'grandpa', 'hospice', 'switched', 'human', 'spirit']",negative
3435,netcooper10,Brett P. Cooper,7.62047E+17,8/6/16 22:06,0,1,0,hi!  sorry!  still here,delta,-0.625,negative,"['hi', 'sorry', 'still']",neutral
3275,jkordyback,John Kordyback,5.76166E+17,3/12/15 23:39,0,0,0,suggestion: increase the size of the tsa pre symbol on your passbook boarding passes.,alaska,0,neutral,"['suggestion', 'increase', 'size', 'tsa', 'pre', 'symbol', 'passbook', 'boarding', 'pass']",negative
4652,michellepego,Michelle Irene,6.55848E+17,10/18/15 20:46,0,2,0,nothing better than finding out ur flight is delayed 2 then get 2 airport & c it is now 6hrs delayed. nothing done to help.,spirit,0.5,positive,"['nothing', 'better', 'finding', 'ur', 'flight', 'delayed', 'get', 'airport', 'c', 'hr', 'delayed', 'nothing', 'done', 'help']",negative
838,knicks148,B.  🥌,4.44229E+17,3/13/14 21:49,0,0,0,two fees...depends if you want to sit.,spirit,0,neutral,"['two', 'fee', 'depends', 'want', 'sit']",negative
407,nashnittany,Angela Evans,9.47536E+17,12/31/17 18:31,1,0,0,shout out to the best red coat mrs. babete for fixing a big problem  .  vegas    #deltaredcoat #greatservice,delta,0.333333333,positive,"['shout', 'best', 'red', 'coat', 'mr', 'babete', 'fixing', 'big', 'problem', 'vega', 'deltaredcoat', 'greatservice']",positive
2330,rliumd,Robyn Liu,5.23946E+17,10/19/14 21:16,0,1,0,i may have lost an item in your lounge at pdx this morning between 8-9 am. what's the best way to look for it?,alaska,1,positive,"['may', 'lost', 'item', 'lounge', 'pdx', 'morning', 'best', 'way', 'look']",neutral
4295,GangstaJournal,Gangsta Journal,5.23748E+17,10/19/14 8:10,0,0,0,"for southwest airlines, steep learning curve   
#southwestairlines pic.twitter.com/x5ia6wrpvj",southwest,0,neutral,"['southwest', 'airline', 'steep', 'learning', 'curve', 'southwestairlines', 'pic', 'twitter', 'com', 'xiawrpvj']",neutral
1095,neodavidbowie,neodavidbowie,8.94312E+17,8/6/17 21:37,0,1,0,ua moved my seat on the aircraft without my approval to a no recline on 6+hour flight. 2 supervisors basically told me to screw off.,united,0,neutral,"['ua', 'moved', 'seat', 'aircraft', 'without', 'approval', 'recline', 'hour', 'flight', 'supervisor', 'basically', 'told', 'screw']",negative
5130,JosGonz84344998,José González,9.20698E+17,10/18/17 17:08,0,0,0,ya al 7 de nov el crucero se fue,jetblue,0,neutral,"['ya', 'al', 'de', 'nov', 'el', 'crucero', 'se', 'fue']",neutral
481,bk00023,B/K,8.14455E+17,12/29/16 12:56,0,0,0,"totally disagree  is amazing, gets you there on-time & flight attendants are really funny!",spirit,0.304166667,positive,"['totally', 'disagree', 'amazing', 'get', 'time', 'flight', 'attendant', 'really', 'funny']",positive
2702,damokeeffe,Damo Unplugged,8.67827E+17,5/25/17 19:37,0,1,0,"i am trying to sign up to check my booking but it tells me ""the member needs to be a passenger on the booking"" which i am",spirit,0,neutral,"['trying', 'sign', 'check', 'booking', 'tell', 'member', 'need', 'passenger', 'booking']",neutral
4457,RuudPlomp,Ruud Plomp,9.20772E+17,10/18/17 22:03,0,0,1,#agenten 'wegsleepvlucht' #unitedairlines ontslagen  via,united,0,neutral,"['agenten', 'wegsleepvlucht', 'unitedairlines', 'ontslagen', 'via']",neutral
